variant_name,use_m2,use_m3,use_m5,missingness_assumption,missingness_mode,missingness_inference_strategy,state_training_strategy,diagnosis_mode,diagnosis_representation,diagnosis_temporal_model,diagnosis_curriculum,diagnosis_latent_dynamics,reliability_mode,reliability_relational,reliability_graph_corel,reliability_graph_message_passing_steps,missingness_sensor_health_latent,policy_surrogate,policy_planning_strategy,rmse,mae,crps,log_score,coverage,interval_width,mean_missingness_proba,total_cost,num_selected
base_gp_only,False,False,False,disabled,selection,joint_generative,sequential,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,14.972314,11.550312,8.915380,6.230020,,,,3.000000,3
gp_plus_dynamic_silence,True,False,False,disabled,selection,joint_generative,sequential,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,15.018577,11.616097,8.968994,6.244637,,,,3.000000,3
gp_plus_homogeneous_missingness,True,True,False,homogeneous,selection,plug_in,sequential,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,14.984511,11.567678,8.925834,6.221289,,,0.000104,3.000000,3
gp_plus_sensor_conditional_missingness,True,True,False,sensor_conditional,selection,plug_in,sequential,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,14.987001,11.571222,8.933031,6.236806,,,0.000101,3.000000,3
gp_plus_joint_variational_missingness,True,True,False,sensor_conditional,selection,joint_variational,sequential,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,9.595656,4.305243,3.626455,8.513081,,,0.000111,3.000000,3
gp_plus_joint_jvi_training,True,True,False,sensor_conditional,selection,joint_variational,joint_variational,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,7.220633,2.201696,1.947899,3.577593,,,0.000189,3.000000,3
gp_plus_joint_generative_missingness,True,True,False,sensor_conditional,selection,joint_generative,sequential,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,10.299322,5.329866,4.226414,13.060030,,,0.000166,3.000000,3
gp_plus_joint_generative_jvi_training,True,True,False,sensor_conditional,selection,joint_generative,joint_generative,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,8.506250,3.003587,2.568295,16.177700,,,0.000163,3.000000,3
gp_plus_pattern_mixture_missingness,True,True,False,sensor_conditional,pattern_mixture,plug_in,sequential,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,14.917412,11.471980,8.850182,6.207430,,,0.000100,3.000000,3
gp_plus_conformal_reliability,True,False,True,disabled,selection,joint_generative,sequential,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,adaptive,False,False,2,True,mi_proxy,lazy_greedy,14.996703,11.585020,8.942399,6.233453,0.913574,34.165085,,3.000000,3
relational_reliability_baseline,True,False,True,disabled,selection,joint_generative,sequential,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,15.021276,11.619931,8.974325,6.253019,0.896576,32.745285,,3.000000,3
myopic_policy_baseline,True,True,True,sensor_conditional,selection,joint_generative,joint_generative,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,lazy_greedy,8.038019,3.039738,2.581950,11.409929,0.867920,9.775826,0.000159,3.000000,3
ppo_warmstart_baseline,True,True,True,sensor_conditional,selection,joint_generative,joint_generative,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,ppo_warmstart,8.396911,4.784214,3.928145,3.575854,0.874512,21.779531,0.000112,3.000000,3
rollout_policy_baseline,True,True,True,sensor_conditional,selection,joint_generative,joint_generative,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,non_myopic_rollout,10.996949,5.137265,4.217385,4.682009,0.873372,20.180286,0.000276,3.000000,3
variance_policy_baseline,True,True,True,sensor_conditional,selection,joint_generative,joint_generative,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,variance,lazy_greedy,8.710786,3.375713,2.898466,17.147051,0.871094,14.133177,0.000135,3.000000,3
full_model,True,True,True,sensor_conditional,selection,joint_generative,joint_generative,temporal_nwp,pi_ssd_embedding,dbn,linear_corruption_curriculum,latent_ode_lite,relational_adaptive,True,False,2,True,mi_proxy,ppo_online,5.570463,2.075109,1.843512,47.755199,0.867676,9.690152,0.000108,3.000000,3
