scope,variant_name,rank,selected_index,utility,total_cost
base_policy,,1,6413,3.715111,3.000000
base_policy,,2,32508,3.065953,3.000000
base_policy,,3,252,3.064676,3.000000
ablation,base_gp_only,1,0,1.837657,3.000000
ablation,base_gp_only,2,32508,1.837657,3.000000
ablation,base_gp_only,3,376,1.836890,3.000000
ablation,gp_plus_dynamic_silence,1,0,1.821416,3.000000
ablation,gp_plus_dynamic_silence,2,32508,1.821416,3.000000
ablation,gp_plus_dynamic_silence,3,376,1.820656,3.000000
ablation,gp_plus_homogeneous_missingness,1,0,1.835694,3.000000
ablation,gp_plus_homogeneous_missingness,2,32508,1.835694,3.000000
ablation,gp_plus_homogeneous_missingness,3,376,1.834920,3.000000
ablation,gp_plus_sensor_conditional_missingness,1,1,1.832797,3.000000
ablation,gp_plus_sensor_conditional_missingness,2,491,1.832795,3.000000
ablation,gp_plus_sensor_conditional_missingness,3,6,1.831991,3.000000
ablation,gp_plus_joint_variational_missingness,1,0,1.806878,3.000000
ablation,gp_plus_joint_variational_missingness,2,32508,1.806878,3.000000
ablation,gp_plus_joint_variational_missingness,3,376,1.806124,3.000000
ablation,gp_plus_joint_jvi_training,1,1,2.064908,3.000000
ablation,gp_plus_joint_jvi_training,2,14229,2.064907,3.000000
ablation,gp_plus_joint_jvi_training,3,6,2.064001,3.000000
ablation,gp_plus_joint_generative_missingness,1,1,1.837079,3.000000
ablation,gp_plus_joint_generative_missingness,2,14229,1.837078,3.000000
ablation,gp_plus_joint_generative_missingness,3,32508,1.836272,3.000000
ablation,gp_plus_joint_generative_jvi_training,1,1,2.051001,3.000000
ablation,gp_plus_joint_generative_jvi_training,2,23642,2.050999,3.000000
ablation,gp_plus_joint_generative_jvi_training,3,6,2.050121,3.000000
ablation,gp_plus_pattern_mixture_missingness,1,0,1.823058,3.000000
ablation,gp_plus_pattern_mixture_missingness,2,32508,1.823058,3.000000
ablation,gp_plus_pattern_mixture_missingness,3,376,1.822297,3.000000
ablation,gp_plus_conformal_reliability,1,0,1.820842,3.000000
ablation,gp_plus_conformal_reliability,2,32508,1.820842,3.000000
ablation,gp_plus_conformal_reliability,3,376,1.820082,3.000000
ablation,relational_reliability_baseline,1,0,1.813769,3.000000
ablation,relational_reliability_baseline,2,32508,1.813769,3.000000
ablation,relational_reliability_baseline,3,376,1.813012,3.000000
ablation,myopic_policy_baseline,1,3624,2.024635,3.000000
ablation,myopic_policy_baseline,2,1,2.024537,3.000000
ablation,myopic_policy_baseline,3,2342,2.019806,3.000000
ablation,ppo_warmstart_baseline,1,1135,3.451510,3.000000
ablation,ppo_warmstart_baseline,2,2031,3.079081,3.000000
ablation,ppo_warmstart_baseline,3,49,3.077798,3.000000
ablation,rollout_policy_baseline,1,2268,3.550097,3.000000
ablation,rollout_policy_baseline,2,4063,3.042694,3.000000
ablation,rollout_policy_baseline,3,47,3.041426,3.000000
ablation,variance_policy_baseline,1,3624,2.646900,3.000000
ablation,variance_policy_baseline,2,1,2.646821,3.000000
ablation,variance_policy_baseline,3,2342,2.640632,3.000000
ablation,full_model,1,524,3.027820,3.000000
ablation,full_model,2,2,3.027780,3.000000
ablation,full_model,3,306,3.027750,3.000000
